时间,迭代轮次,计算次数,loss,对照值,采样值,步长
7.448,2537,507400,0.999743,0.306046,0.328831,0.286237
14.538,5173,1034600,0.483382,0.206139,0.227213,0.29833
21.818,7689,1537800,0.371847,0.157959,0.161537,0.326358
28.632,10085,2017000,0.323897,0.12968,0.125957,0.338322
35.418,12372,2474400,0.295441,0.129353,0.123632,0.341064
41.954,14573,2914600,0.274867,0.14309,0.130809,0.341961
48.252,16751,3350200,0.265038,0.127907,0.116439,0.349424
54.433,18933,3786600,0.255384,0.119034,0.097637,0.345704
61.433,21147,4450400,0.232251,0.102261,0.0918682,0.351557
68.653,23346,5110100,0.223049,0.119022,0.0950656,0.36248
75.696,25548,5770700,0.214749,0.103937,0.0793485,0.355406
82.829,27724,6423500,0.218599,0.100906,0.0634297,0.368307
88.895,29395,7174700,0.185105,0.0914718,0.0594894,0.370497
95,31069,7928000,0.172039,0.0848976,0.0563666,0.363401
101.055,32732,8676350,0.167728,0.0690624,0.041036,0.358021
107.011,34377,9416600,0.162091,0.0795565,0.0458619,0.351194
113.851,36034,10534400,0.149901,0.0756058,0.0414227,0.344942
120.634,37707,11663675,0.14184,0.0726305,0.0366823,0.335975
127.427,39336,12763250,0.141144,0.0719237,0.0348263,0.337731
134.322,40993,13881725,0.137116,0.0847579,0.0457032,0.334771
142.717,42620,15526901,0.128028,0.076819,0.0377531,0.312348
150.983,44250,17176461,0.123973,0.0642398,0.0280905,0.304927
159.248,45871,18816913,0.11953,0.0682286,0.0304541,0.302401
167.514,47506,20471533,0.117008,0.0593119,0.0240056,0.304793
174.869,48520,22009267,0.108076,0.0558854,0.0200871,0.301121
